Model,Dataset-Based Prediction,NLP-ML,Sample-and-Dataset-Based Prediction (Sum),Sample-and-Dataset-Based Prediction (Max)
UBERON:0002346,0.964479584036086,0.994914934265363,0.9756336513529016,0.9757504182626916
UBERON:0000485,0.7475383184640014,0.880331445641233,0.7475383184640014,0.7475383184640014
UBERON:0002365,0.8487259601553471,0.8409465116821192,0.9341949701763456,0.9348558612656144
UBERON:0000029,0.1466662193348645,0.4966195164252515,0.4022088544907792,0.4021865855208744
UBERON:0012069,0.0058585659284988,0.39605486207427953,0.0061993319407298,0.0059026297870387
UBERON:0000323,0.5011649148634741,0.2466336151166784,0.5011649148634741,0.5011649148634741
UBERON:0000160,0.7303376156991417,0.8570724303878109,0.7916828537496413,0.7924674735163585
CL:0000738,0.6976850199889346,0.8594999341373221,0.8016877761857887,0.8022603044732906
UBERON:0000179,0.719470723604212,0.8493471888025562,0.8451888297753898,0.8451060881869711
UBERON:0001042,0.4366400847034269,0.24137339316032014,0.4384833066833467,0.4384559900709653
UBERON:0019264,0.7970494417862839,0.9950208078335374,1.0,1.0
UBERON:0002384,0.8013807573280574,0.8059390624751129,0.9113781509843476,0.8807204771636525
UBERON:0001638,0.892207975200789,0.5651932793099943,0.892207975200789,0.892207975200789
UBERON:0002048,0.8701093860050454,0.7405995843243385,0.92901045792881,0.930804321361118
UBERON:0000923,0.9627054848828612,0.9903040229060387,0.9765167392268956,0.9767024343893134
UBERON:0012274,0.798785808544568,0.9315128318445204,0.798785808544568,0.798785808544568
UBERON:0002372,0.4365364662022285,0.5516240406617662,0.4381670697617381,0.4380648859274968
UBERON:0000451,0.2546760519736984,0.531147600850127,0.4075533433424101,0.4075533433424101
UBERON:0016526,0.5627730955111285,1.0,0.7530737438598682,0.7538702833176216
CL:2000064,0.6510913755201538,0.5586198260936666,0.727046512586001,0.727046512586001
UBERON:0002020,0.4954709001564573,0.9403755335016994,0.8467778631499651,0.8508133261051402
UBERON:0002728,0.344700263554359,0.8806980056980057,0.7039107898701484,0.7039107898701484
UBERON:0000945,0.1039154133384383,0.42640603532597526,0.1373058275446672,0.1373058275446672
UBERON:0001870,0.2459552371356124,0.5824376870091675,0.902834008097166,0.9028340080971656
CL:0000542,0.7964319645023676,0.697279488839686,0.8559556366562215,0.8543499961657093
UBERON:0002107,0.8465734210221689,0.9196286549167236,0.932061260501712,0.9383155781056473
UBERON:0001264,0.2194302018372584,0.3367303226573341,0.3236492544714892,0.3236435590761647
CL:0000766,0.5670466308416742,0.863642761889597,0.7698559958698051,0.7672228451101175
UBERON:0002368,0.807195480957832,0.8595134868757904,0.843542321807281,0.8472357883724309
UBERON:0007592,0.7715847313807559,0.9657988267770877,0.7668102819283914,0.7715847313807559
UBERON:0004815,0.7632770440033847,0.9672619768724353,0.7632556261204996,0.7632556261204996
CL:0000084,0.725869902417571,0.4722568058788035,0.8099953766509337,0.8101445046049424
CL:0002087,0.6250521460473686,0.7866061922016293,0.7042367342310286,0.7090889586620247
UBERON:0000956,0.7988815244407622,1.0,1.0,1.0
UBERON:0004804,0.1317295534660879,0.28311765376237197,0.1987655755793618,0.1672223581231674
CL:0002321,0.0116883893989003,1.0,0.0114911322861652,0.0115152275345878
UBERON:0005906,0.8631008437968497,0.8143929162447587,0.9304114919368623,0.9258031490094362
CL:0000057,0.4409613606355009,0.7581421057852229,0.5400475149678797,0.5133183001287551
UBERON:0006955,0.785305128482126,0.2580659434819812,0.8607625652228558,0.8607519611201258
UBERON:0000992,0.7008449945821267,0.7104418469299841,0.7159554895717165,0.7161179996157718
UBERON:0000955,0.9721554869751146,0.9902320075784251,0.97133981955022,0.9779925299656712
CL:0002553,0.4657643658615555,0.39483334389699604,0.8895138143828093,0.7948818822073328
UBERON:0011300,0.7703528841647329,1.0,0.9891806793059555,0.9891806793059555
UBERON:0004765,0.4051476138131636,0.44808139919760814,0.4527751912175699,0.430466685985128
CL:0000842,0.7276385082290283,0.875991483886186,0.7989258717833401,0.807289271510248
UBERON:0000178,0.735507010183655,0.9579388681673757,0.8714033421380345,0.8716603359792636
UBERON:0000055,0.472072944473634,0.4472891994798077,0.5689939211118769,0.5273734993582697
CL:0000451,0.9531190202831994,0.12818755051585598,0.9542585635128756,0.9531190202831994
UBERON:0001049,0.9408594189033396,0.9997606631662727,0.9549214371919404,0.9549386738461564
UBERON:0005291,0.9504378577788176,0.9973315742376201,0.9625233766589874,0.9626607410849212
UBERON:0000948,0.1556601018086392,0.7371304652002718,0.1557762719059806,0.1556601018086392
UBERON:0016525,0.1835927733581898,0.7785915448560853,0.1835701877126563,0.1835701877126563
UBERON:0018254,0.7240074425422314,1.0,0.7618443742787423,0.7698747520027833
UBERON:0004537,0.9065096251266463,0.6219761165822151,0.9065096251266463,0.9065096251266463
UBERON:0001155,0.8264063472470842,0.9864329101392766,0.8277251192939798,0.8282589599774557
UBERON:0001134,0.740895417224948,1.0,0.7741486902309346,0.7741486902309346
UBERON:0000490,0.800271089118332,0.7923896584679945,0.8002118172124155,0.8002605579968692
UBERON:0001474,0.2009862402582868,0.5159933216827108,0.2531068079916256,0.2355088152719066
UBERON:0004802,0.7703909451020065,0.8846358256091783,0.7703909451020066,0.7703909451020065
UBERON:0011821,0.941668307066546,1.0,0.9622556035874524,0.9442749673495549
CL:0000786,0.8976612480341286,0.7511032656663725,0.9867306201551672,0.9867257525697168
CL:0000945,0.7752911023024753,0.6418174211575222,0.8475798308721444,0.841226931932985
UBERON:0003914,0.9489568407421064,0.9614513015110067,0.9609364996085996,0.9609364996085996
CL:0000037,0.3267537804046188,0.8372644507872931,0.9964469031275124,0.9964525586203392
UBERON:0001013,0.9061990521004688,1.0,0.956723100129638,0.9442749673495549
CL:0000763,0.2999317896921116,0.5675079243246941,0.3807830239204055,0.374147276922667
UBERON:0000459,0.4807874060573132,0.7130564161582063,0.7603813311498422,0.7617971887550201
CL:0002620,0.3315987267956054,0.519538359386416,0.651113065754642,0.6517630659572948
CL:0002632,0.8059614154639103,0.8363321906219301,0.8026988608186839,0.8059614154639103
UBERON:0010499,0.7480172604377366,0.8852779357890901,0.7480172604377368,0.7480172604377366
UBERON:0000922,0.9613031206898758,0.9715594519633737,0.9749087731304238,0.9749461630041926
UBERON:0002031,0.8494522890957066,0.8435619451321863,0.8494490802658053,0.8494522890957066
UBERON:0000002,0.010106051314142,0.31347371084640413,0.1724108819748488,0.1724664520266186
CL:0000946,0.9987956450525098,0.7511339138263275,1.0,0.999398414346868
UBERON:0001744,0.1634998899278008,0.45669710806697106,0.4180476439276305,0.4180476439276305
UBERON:0010316,0.9554748023422704,0.9942865274525111,0.963753872541053,0.964086311857251
UBERON:0034769,0.4977219587914946,0.27010407440060696,0.6843202282771819,0.6843204188948869
CL:0002202,0.7563196298379088,0.6441538454802532,0.756239123182692,0.7563196298379088
UBERON:0007196,0.7403672666992059,0.7377684100132191,0.7403672666992059,0.7403672666992059
CL:0000081,0.0611311277169853,0.028558429782463104,0.1854862441022418,0.0777412560490979
UBERON:0010498,0.7792680797748173,0.9951874996024316,0.7772656261346992,0.7792680797748173
CL:0002368,0.7399640518824055,0.901041165087225,0.7399107783858636,0.7399640518824055
UBERON:0001015,0.7348556744341079,1.0,0.7807229838946597,0.7807229838946598
UBERON:0002066,0.4898581981464792,0.6042952691733772,0.4898345306277819,0.4898581981464792
UBERON:0000310,0.7136496141134517,0.9298026921886893,0.8652157153563637,0.8615412206070492
UBERON:0001043,0.3650375328283821,0.42495762204311427,0.513838583017937,0.5138985040018547
UBERON:0003528,0.8672962226640158,1.0,0.8672962226640158,0.8672962226640158
UBERON:0001950,0.045184555951619,0.7012278061239638,0.1664927271739632,0.1665080853633837
UBERON:0000991,0.7826184739469394,0.5457701947737321,0.799442938881512,0.799115327749129
UBERON:0000993,0.683780032639384,0.5543378012697308,0.8343901480457765,0.8344082196257934
UBERON:0004807,0.7584813822091238,0.7133354421884602,0.7584813822091235,0.7584813822091236
UBERON:0000995,0.5268895435786316,0.3273490599549419,0.7398734708129383,0.7415229662638353
UBERON:0002894,0.3464363547107644,0.7142857142857143,0.5214363547107644,0.5214363547107644
UBERON:0001871,0.2385505772626741,0.46003678552782806,0.4098867841592259,0.4098867841592259
UBERON:0002371,0.3405234677927858,0.41092036860386133,0.3731801895455651,0.3425469650414329
UBERON:0002185,0.7317351807260639,0.7251541367213135,0.6411487915083298,0.7310622892388859
UBERON:0012275,0.1380117138676521,0.2401555455013969,0.2047729084528826,0.204767934064702
UBERON:0000059,0.8774941026453309,0.9050101592633071,0.9075690909059964,0.9076273976207634
CL:0002322,0.005284515435679,0.7222222222222222,0.0032907535912364,0.0033454281024211
UBERON:0000483,0.7393334687012062,0.8088785486581511,0.8098155517447242,0.8164550146583663
UBERON:0005401,0.7893333333333333,0.9772132683658171,0.7893333333333334,0.7893333333333333
UBERON:0006562,0.5611218633933901,0.5372112833403155,0.7895601295770547,0.7895601295770547
UBERON:0002199,0.2953708555081825,0.3437832948935162,0.6044859428563633,0.5470693379861836
UBERON:0001962,0.0276973034481512,0.4784722222222222,0.2468676030488212,0.2468676030488212
UBERON:0011215,0.5896326101804112,0.8375100887953295,0.7786905556940001,0.7812424833495658
UBERON:0016548,0.4528340078473954,0.8531973802683188,0.7031710689380755,0.7024813275972409
UBERON:0009778,0.8342173947800434,0.7153105004401272,0.9555454750039978,0.9576049746792272
UBERON:0011823,0.950959068854988,1.0,0.9534460074891206,0.9534460074891205
CL:0000576,0.404402586817809,0.6287401125473291,0.7675662844891208,0.6987448650118969
CL:0000182,0.4046454317529814,0.15969688133036622,0.6940785140176218,0.675834847241063
UBERON:0002049,0.2543027043977474,0.5681943508887171,0.35572866735749,0.2511051847525193
UBERON:0012168,0.8517810401142959,0.1973980304052477,0.8515429464561265,0.851556308501774
UBERON:0000117,0.751853587309318,0.8034687022836845,0.7105359688651758,0.751853587309318
UBERON:0000065,0.9418821807682404,0.9851303768674136,0.9628454997899222,0.9665047101315664
UBERON:0000203,0.8241206030150754,1.0,1.0,0.9999999999999998
UBERON:0016529,0.0608478803331744,0.4860379904012306,0.200038169684498,0.1875413126600981
UBERON:0001893,0.8155169105670297,0.9949591038406828,0.8322494198062295,0.8322494198062292
UBERON:0002530,0.6746629840580417,0.7865640809016137,0.7820069472763881,0.784406353049787
UBERON:0001869,0.7645628910523652,0.9996323529411765,0.7622391337674478,0.7643810980184276
CL:0000066,0.2909243276745731,0.31952240603709503,0.3899296778792009,0.3266168379781882
UBERON:0004801,0.7838038431188696,0.039894574999804526,0.980207382828702,0.9802077274615706
UBERON:0005911,0.7188767035767972,0.9340717739267543,0.7188494265631366,0.7188767035767972
CL:0002328,0.7645394624850482,0.8708703509178429,0.7356768545591337,0.7630299742734323
UBERON:0007601,0.7917372021503658,0.977204776702089,0.7917372021503658,0.7917372021503658
UBERON:0000473,0.9095295055821372,0.0028570102541522254,0.9094542811839323,0.9094844549390004
UBERON:0001295,0.4632163497654659,0.7130839754424524,0.7937343039704994,0.7937343039704995
UBERON:0008895,0.1478392726257655,0.3670712772536481,0.402165025335148,0.402165025335148
UBERON:0001981,0.699780046735554,0.7105715047212915,0.699780046735554,0.699780046735554
UBERON:0002385,0.6937764231016521,0.9968938756428237,0.7576383862225824,0.7577595452692207
UBERON:0002973,0.4098511340955989,0.8095238095238094,0.7294014389736477,0.7294014389736477
UBERON:0002097,0.30047302867893,0.6642890856870736,0.7643398217098291,0.7714405058725521
UBERON:0001558,0.9021613594392648,0.9256359198620381,0.9619235272906002,0.962427851334079
UBERON:0003920,0.7503475617814194,0.5428050967034762,0.7503475617814194,0.7503475617814194
UBERON:0001961,0.4361276002072298,0.2864629688911105,0.4393149995521841,0.4389319163444845
UBERON:0000200,0.2371791831351659,0.7450980392156863,0.6665115694988023,0.6665115694988023
UBERON:0002367,0.4137116038450436,0.6170608018041052,0.5168234616202644,0.5169960374339531
UBERON:0002036,0.7407335961759781,1.0,0.781510069752702,0.7815100697527019
UBERON:0002113,0.8028407110470045,0.46312552507666427,0.8090297008862657,0.8217258421384285
UBERON:0004725,0.4039480717453278,0.4521199521199521,0.7234983766233766,0.7234983766233767
UBERON:0005366,0.2815483892139214,0.7044858168453674,0.7108807755775577,0.7108807755775577
UBERON:0001735,0.1632964032236599,0.3216782149176796,0.418047889108471,0.418047889108471
UBERON:0008367,0.3043507968257871,0.04737163422347015,0.6937128139925343,0.694807723715122
CL:0008001,0.3029038500714582,0.8578079397159645,0.991626841620958,0.9916326743126948
UBERON:0002600,0.251496643417702,0.48271225374203036,0.6848977953624833,0.7141471551576177
UBERON:0001890,0.8153581679681396,1.0,0.8262273901808785,0.8262273901808784
UBERON:0019042,0.4824482234934629,0.7173691437452137,0.8052255210217312,0.8052255210217313
UBERON:0010260,0.960575719649562,0.4779295720821399,0.960575719649562,0.960575719649562
UBERON:0003889,0.7164817567821556,0.2177527333476123,0.9216807050047552,0.9213676092272984
UBERON:0010371,0.967472670830289,0.9819188869811194,0.9743980293799512,0.974822317100254
UBERON:0011822,0.944274967349555,1.0,0.9534460074891205,0.9534460074891206
CL:0000235,0.388040869337407,0.46156839385449266,0.4647279854574115,0.4444277272232329
UBERON:0003975,0.3867620686661175,0.22382723487815945,0.3918653971397829,0.3913730700125636
CL:0002535,0.5285336385971438,0.04066787031582063,0.6217907248798374,0.5887350094412184
